Features;ItemSets;Clusters
turbo boost up to 2.7 ghz;[turbo, boost, ghz, turbo boost];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [sc turbo boost up to 3.1 ghz, turbo boost up to 2.7 ghz]
750gb hard drive;[drive, 750gb hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1tb hard drive, 500gb hard drive, 750gb hard drive]
microsoft windows 8.1 ;[microsoft, windows, microsoft windows];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [microsoft windows 8.1 ]
5400 rpm spindle speed;[rpm, spindle, speed, rpm spindle speed];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [5400 rpm spindle speed]
built-in 1x1 high-speed wireless lan 802.11 ;[lan, high-speed wireless lan];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 ]
1920 x 1080 resolution;[resolution];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1920 x 1080 resolution, 1600 x 900 resolution, 1366 x 768 resolution]
500gb serial ata hard drive;[ata, drive, 500gb serial ata hard drive];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [750gb serial ata hard drive, 500gb serial ata hard drive]
2 screen side;[screen, side, screen side];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [2 screen side]
4096mb total available video memory;[video, memory, video memory, total available video memory];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [4096mb total available video memory, 1792mb total available video memory]
1600 x 900 resolution;[resolution];[3 superspeed usb 3.0 , 1000 gigabit ethernet lan, 15.6  touch screen, 17.3  wled-backlit high-definition touch-screen display, 17.3  wled-backlit high-definition display, 17.3  high-definition display, 1366 x 768 resolution, 1tb hard drive, 1.7 ghz processor speed, 4096mb total available video memory, 500gb hard drive, turbo boost up to 2.7 ghz, built-in 1x1 high-speed wireless lan 802.11 , built-in 2x2 high-speed wireless lan 802.11 , 15.6  wled-backlit high-definition touch-screen display, 8gb system memory, 500gb serial ata hard drive, 15.6  wled-backlit high-definition display, 15.6  full hd touch screen, 8.1 64-bit operating system, 2.0 ghz processor speed, 17.3  wled-backlit touch screen, 4gb ddr3l sdram, 1.9 ghz processor speed, microsoft office 365 , 8210 integrated graphics, 5400 rpm spindle speed, 15.6  high-definition display, sc turbo boost up to 3.1 ghz, hard drive 5400 , amd radeon hd 8210 , 1792mb total available video memory, intel hd graphics 4400 , 2 screen side, 1920 x 1080 resolution, 750gb serial ata hard drive, hd graphics 4400 , serial ata hard drive 5400 , 1600 x 900 resolution, 750gb hard drive, 8.1 operating system, microsoft windows 8.1 ], [1920 x 1080 resolution, 1600 x 900 resolution, 1366 x 768 resolution]
